# 번호,X 시작지점,X 끝지점,Y 시작지점,Y 끝지점,가로크기
0,32256,32767,32768,33279,512
1,32640,32767,32768,32895,128
2,32640,32831,32768,32895,192
3,32640,32831,32768,32959,192
4,32384,34303,32000,33535,1920
5,32704,32767,32768,32831,64
6,32704,32767,32768,32831,64
7,32704,32831,32704,32831,128
8,32704,32831,32704,32831,128
9,32704,32831,32704,32831,128
10,32704,32831,32704,32831,128
11,32704,32831,32704,32831,128
12,32704,32831,32704,32831,128
13,32704,32831,32704,32831,128
14,32512,33023,32768,32831,512
15,32704,32767,32768,32831,64
17,32704,32767,32768,32831,64
18,32704,32767,32768,32831,64
19,32704,32831,32704,32831,128
20,32704,32831,32704,32831,128
21,32704,32831,32704,32831,128
23,32704,32831,32704,32831,128
24,32704,32831,32704,32831,128
25,32704,32831,32704,32831,128
26,32704,32831,32704,32831,128
27,32704,32831,32704,32831,128
28,32704,32831,32704,32831,128
29,32704,32767,32768,32831,64
30,32704,32831,32704,32831,128
31,32704,32831,32704,32831,128
32,32640,32767,32768,32895,128
33,32640,32767,32768,32895,128
35,32640,32767,32768,32895,128
36,32640,32767,32768,32895,128
37,32640,32767,32768,32895,128
43,32704,32831,32704,32831,128
44,32704,32831,32704,32831,128
45,32704,32831,32704,32831,128
46,32704,32831,32704,32831,128
47,32704,32831,32704,32831,128
48,32704,32831,32704,32831,128
49,32704,32831,32704,32831,128
50,32704,32831,32704,32831,128
51,32640,32831,32704,32895,192
52,32640,32767,32768,32895,128
53,32704,32831,32704,32831,128
54,32704,32831,32704,32831,128
55,32704,32767,32704,32895,64
56,32704,32831,32704,32831,128
59,32640,32767,32768,32895,128
60,32640,32767,32768,32895,128
61,32640,32767,32768,32895,128
62,32640,32767,32768,32895,128
63,32576,32895,32640,32959,320
65,32704,32831,32768,32895,128
66,32704,32895,32768,32959,192
67,32640,32831,32704,32895,192
68,32576,33023,32512,32959,448
69,32512,32831,32704,33023,320
70,32576,33023,32640,33087,448
72,32704,32831,32768,32895,128
73,32704,32831,32768,32895,128
74,32704,32831,32832,32959,128
75,32704,32831,32768,32959,128
76,32704,32831,32768,32895,128
77,32704,32831,32768,32895,128
78,32832,32959,32704,32831,128
79,32704,32831,32768,32895,128
80,32704,32831,32768,32895,128
81,32704,32831,32768,32895,128
82,32640,32767,32768,32895,128
83,32704,32767,32768,32831,64
84,32576,32767,32704,32895,192
85,32640,32767,32768,32895,128
86,32768,32959,32704,32895,192
88,33472,33535,32704,32767,64
89,32640,32767,32832,32959,128
90,32640,32767,32832,32959,128
91,32640,32767,32832,32959,128
92,32640,32767,32832,32959,128
93,32640,32767,32832,32959,128
94,32640,32767,32832,32959,128
95,32640,32767,32832,32959,128
96,32640,32767,32832,32959,128
97,32640,32767,32832,32959,128
98,32640,32767,32832,32959,128
99,32704,32767,32768,32831,64
101,32704,32895,32704,32895,192
102,32704,32895,32704,32895,192
103,32704,32895,32704,32895,192
104,32576,32767,32768,32959,192
105,32576,32767,32768,32959,192
106,32576,32767,32768,32959,192
107,32576,32767,32768,32959,192
108,32576,32767,32768,32959,192
109,32576,32767,32768,32959,192
110,32704,32895,32704,32895,192
200,32576,32831,32768,33023,256
201,32640,33535,32704,32959,896
210,32640,33535,32704,32895,896
213,32704,32767,32768,32831,64
217,32640,32767,32768,32831,128
237,32704,32767,32768,32831,64
300,32832,32959,32512,32639,128
301,32576,32767,32768,33023,192
350,32640,32767,32768,32895,128
400,32704,32895,32896,33023,192
410,32704,32959,32768,33023,256
430,32704,32959,32768,33023,256
508,32768,32895,33088,33211,128
509,32704,32767,32768,32831,64
521,32640,32767,32832,33023,128
522,32640,32767,32832,32959,128
523,32640,32767,32832,32959,128
524,32640,32767,32832,32959,128
535,32576,32895,32704,33023,320
605,32704,32959,32704,32959,256
666,32640,32831,32704,32895,192
777,32512,32767,32832,33087,256
780,32576,32831,32704,33087,256
781,32704,33023,32704,32895,320
782,32704,32831,32768,32895,128
807,32640,32895,32640,32895,256
808,32640,32895,32640,32895,256
809,32640,32895,32640,32895,256
810,32640,32831,32640,32895,192
811,32640,32895,32640,32895,256
812,32640,32895,32640,32895,256
813,32640,32895,32640,32895,256
1002,32576,33087,32512,33023,512
1400,32768,32959,32704,32895,192
1401,32768,32959,32704,32895,192
1402,32768,32959,32704,32895,192
1403,32768,32959,32704,32895,192
1404,32768,32959,32704,32895,192
1936,32768,32831,32832,32895,64
5000,32768,32831,32768,32831,64
5001,32768,32831,32768,32831,64
5143,32704,32831,32768,32895,128
5167,32512,32767,32704,32959,256
5556,32472,33599,32640,32767,128
9100,32704,32767,32832,32895,64
16384,32704,32767,32768,32831,64
16896,32704,32767,32768,32831,64
17408,32704,32767,32768,32831,64
17920,32704,32767,32768,32831,64
18432,32704,32767,32768,32831,64
18944,32704,32767,32768,32831,64
19456,32704,32767,32768,32831,64
19968,32704,32767,32768,32831,64
20480,32704,32767,32768,32831,64
20992,32704,32767,32768,32831,64
21504,32704,32767,32768,32831,64
22016,32704,32767,32768,32831,64
22528,32704,32767,32768,32831,64
23040,32704,32767,32768,32831,64
23552,32704,32767,32768,32831,64
24576,32704,32767,32768,32831,64
