[2026-01-12 18시24분13초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-12 18시24분25초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-12 18시24분27초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [접속]
[2026-01-12 18시24분31초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [종료]
[2026-01-12 18시24분49초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시29분04초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시31분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시31분19초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시32분04초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시33분22초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시34분23초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시35분52초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시36분41초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시36분48초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시37분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시37분52초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시39분30초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시40분48초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시47분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시48분47초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 18시49분21초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 18시52분02초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 21시14분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 21시34분17초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 21시34분51초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 21시55분03초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 21시55분34초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 21시57분21초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-12 21시57분47초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-12 21시57분54초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 22시08분25초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 22시12분04초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 22시12분09초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 22시12분10초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-12 22시24분54초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-12 22시29분44초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-12 22시31분04초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-12 23시23분14초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-12 23시29분53초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-12 23시29분55초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-12 23시39분58초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-12 23시44분00초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-12 23시47분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
