[2025-12-16 14시54분17초]	0	0	0	
[2025-12-16 14시54분18초]	0	0	0	
[2025-12-16 14시54분19초]	0	0	0	
[2025-12-16 14시54분20초]	0	0	0	
[2025-12-16 14시54분21초]	0	0	0	
[2025-12-16 14시54분22초]	0	0	0	
[2025-12-16 14시54분23초]	0	0	0	
[2025-12-16 14시54분24초]	0	0	0	
[2025-12-16 14시54분25초]	0	0	0	
[2025-12-16 14시54분26초]	0	0	0	
[2025-12-16 14시54분27초]	0	0	0	
[2025-12-16 14시54분28초]	0	0	0	
[2025-12-16 14시54분29초]	0	0	0	
[2025-12-16 14시54분30초]	0	0	0	
[2025-12-16 14시54분31초]	0	0	0	
[2025-12-16 14시54분32초]	0	0	0	
[2025-12-16 14시54분33초]	0	0	0	
[2025-12-16 14시54분34초]	0	42	1	null|42|0	
[2025-12-16 14시54분35초]	0	0	1	null|0|0	
[2025-12-16 14시54분36초]	0	0	1	null|0|0	
[2025-12-16 14시54분37초]	0	0	1	null|0|0	
[2025-12-16 14시54분38초]	0	0	1	null|0|0	
[2025-12-16 14시54분39초]	0	0	1	null|0|0	
[2025-12-16 14시54분40초]	0	0	1	null|0|0	
[2025-12-16 14시54분41초]	0	0	1	null|0|0	
[2025-12-16 14시54분42초]	0	0	1	null|0|0	
[2025-12-16 14시54분43초]	44	0	1	222.115.187.198|0|44	
[2025-12-16 14시54분44초]	0	90	1	222.115.187.198|90|0	
[2025-12-16 14시54분45초]	6	340	1	222.115.187.198|340|6	
[2025-12-16 14시54분46초]	10	20	1	222.115.187.198|20|10	
[2025-12-16 14시54분47초]	3	9594	1	222.115.187.198|9594|3	
[2025-12-16 14시54분48초]	8	268	1	222.115.187.198|268|8	
[2025-12-16 14시54분49초]	16	598	1	222.115.187.198|598|16	
[2025-12-16 14시54분50초]	0	274	1	222.115.187.198|274|0	
[2025-12-16 14시54분51초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시54분52초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시54분53초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시54분54초]	0	248	1	222.115.187.198|248|0	
[2025-12-16 14시54분55초]	0	256	1	222.115.187.198|256|0	
[2025-12-16 14시54분56초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시54분57초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시54분58초]	10	256	1	222.115.187.198|256|10	
[2025-12-16 14시54분59초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시55분00초]	0	238	1	222.115.187.198|238|0	
[2025-12-16 14시55분01초]	0	274	1	222.115.187.198|274|0	
