[2025-12-20 14시17분32초]	0	0	0	
[2025-12-20 14시17분33초]	0	0	0	
[2025-12-20 14시17분34초]	0	0	0	
[2025-12-20 14시17분35초]	0	0	0	
[2025-12-20 14시17분36초]	0	0	0	
[2025-12-20 14시17분37초]	0	0	0	
[2025-12-20 14시17분38초]	0	0	0	
[2025-12-20 14시17분39초]	0	0	0	
[2025-12-20 14시17분40초]	0	0	0	
[2025-12-20 14시17분41초]	0	0	0	
[2025-12-20 14시17분42초]	0	0	0	
[2025-12-20 14시17분43초]	0	0	0	
[2025-12-20 14시17분44초]	0	42	1	null|42|0	
[2025-12-20 14시17분45초]	0	0	1	null|0|0	
[2025-12-20 14시17분46초]	0	0	1	null|0|0	
[2025-12-20 14시17분47초]	0	0	1	null|0|0	
[2025-12-20 14시17분48초]	0	0	1	null|0|0	
[2025-12-20 14시17분49초]	44	90	1	222.115.187.198|90|44	
[2025-12-20 14시17분50초]	3	210	1	222.115.187.198|210|3	
[2025-12-20 14시17분51초]	3	130	1	222.115.187.198|130|3	
[2025-12-20 14시17분52초]	13	9912	1	222.115.187.198|9912|13	
[2025-12-20 14시17분53초]	0	238	1	222.115.187.198|238|0	
[2025-12-20 14시17분54초]	0	288	1	222.115.187.198|288|0	
[2025-12-20 14시17분55초]	56	710	1	222.115.187.198|710|56	
[2025-12-20 14시17분56초]	88	1192	1	222.115.187.198|1192|88	
[2025-12-20 14시17분57초]	56	690	1	222.115.187.198|690|56	
[2025-12-20 14시17분58초]	0	238	1	222.115.187.198|238|0	
[2025-12-20 14시17분59초]	0	256	1	222.115.187.198|256|0	
[2025-12-20 14시18분00초]	24	608	1	222.115.187.198|608|24	
[2025-12-20 14시18분01초]	88	808	1	222.115.187.198|808|88	
[2025-12-20 14시18분02초]	23	384	1	222.115.187.198|384|23	
[2025-12-20 14시18분03초]	67	694	1	222.115.187.198|694|67	
[2025-12-20 14시18분04초]	0	368	1	222.115.187.198|368|0	
[2025-12-20 14시18분05초]	31	366	1	222.115.187.198|366|31	
[2025-12-20 14시18분06초]	80	318	1	222.115.187.198|318|80	
[2025-12-20 14시18분07초]	48	258	1	222.115.187.198|258|48	
[2025-12-20 14시18분08초]	7	256	1	222.115.187.198|256|7	
[2025-12-20 14시18분09초]	20	320	1	222.115.187.198|320|20	
[2025-12-20 14시18분10초]	0	126	1	222.115.187.198|126|0	
[2025-12-20 14시18분11초]	26	434	1	222.115.187.198|434|26	
[2025-12-20 14시18분12초]	32	366	1	222.115.187.198|366|32	
[2025-12-20 14시18분13초]	31	384	1	222.115.187.198|384|31	
[2025-12-20 14시18분14초]	19	384	1	222.115.187.198|384|19	
[2025-12-20 14시18분15초]	40	464	1	222.115.187.198|464|40	
[2025-12-20 14시18분16초]	0	380	1	222.115.187.198|380|0	
[2025-12-20 14시18분17초]	32	372	1	222.115.187.198|372|32	
[2025-12-20 14시18분18초]	24	378	1	222.115.187.198|378|24	
[2025-12-20 14시18분20초]	23	444	1	222.115.187.198|444|23	
[2025-12-20 14시18분21초]	0	326	1	222.115.187.198|326|0	
[2025-12-20 14시18분22초]	0	326	1	222.115.187.198|326|0	
[2025-12-20 14시18분23초]	19	402	1	222.115.187.198|402|19	
[2025-12-20 14시18분24초]	0	326	1	222.115.187.198|326|0	
[2025-12-20 14시18분25초]	0	346	1	222.115.187.198|346|0	
[2025-12-20 14시18분26초]	19	412	1	222.115.187.198|412|19	
[2025-12-20 14시18분27초]	0	346	1	222.115.187.198|346|0	
[2025-12-20 14시18분28초]	0	326	1	222.115.187.198|326|0	
[2025-12-20 14시18분29초]	0	326	1	222.115.187.198|326|0	
[2025-12-20 14시18분30초]	0	326	1	222.115.187.198|326|0	
[2025-12-20 14시18분31초]	19	422	1	222.115.187.198|422|19	
