[2026-01-05 19시21분32초]	0	0	0	
[2026-01-05 19시21분34초]	0	0	0	
[2026-01-05 19시21분35초]	0	0	0	
[2026-01-05 19시21분36초]	0	0	0	
[2026-01-05 19시21분37초]	0	0	0	
[2026-01-05 19시21분38초]	0	0	0	
[2026-01-05 19시21분39초]	0	0	0	
[2026-01-05 19시21분40초]	0	0	0	
[2026-01-05 19시21분41초]	0	0	0	
[2026-01-05 19시21분42초]	0	0	0	
[2026-01-05 19시21분43초]	0	0	0	
[2026-01-05 19시21분44초]	0	0	0	
[2026-01-05 19시21분45초]	0	0	0	
[2026-01-05 19시21분46초]	0	0	0	
[2026-01-05 19시21분47초]	0	0	0	
[2026-01-05 19시21분48초]	0	0	0	
[2026-01-05 19시21분49초]	0	42	1	null|42|0	
[2026-01-05 19시21분50초]	0	0	1	null|0|0	
[2026-01-05 19시21분51초]	0	0	1	null|0|0	
[2026-01-05 19시21분52초]	0	0	1	null|0|0	
[2026-01-05 19시21분53초]	44	202	1	222.115.187.198|202|44	
[2026-01-05 19시21분54초]	6	346	1	222.115.187.198|346|6	
[2026-01-05 19시21분55초]	13	10988	1	222.115.187.198|10988|13	
[2026-01-05 19시21분56초]	0	256	1	222.115.187.198|256|0	
[2026-01-05 19시21분57초]	0	244	1	222.115.187.198|244|0	
[2026-01-05 19시21분58초]	0	254	1	222.115.187.198|254|0	
[2026-01-05 19시21분59초]	0	226	1	222.115.187.198|226|0	
[2026-01-05 19시22분00초]	0	226	1	222.115.187.198|226|0	
[2026-01-05 19시22분01초]	0	236	1	222.115.187.198|236|0	
[2026-01-05 19시22분02초]	0	226	1	222.115.187.198|226|0	
[2026-01-05 19시22분03초]	0	278	2	null|42|0	222.115.187.198|236|0	
[2026-01-05 19시22분04초]	0	264	2	null|0|0	222.115.187.198|264|0	
[2026-01-05 19시22분05초]	0	244	2	null|0|0	222.115.187.198|244|0	
[2026-01-05 19시22분06초]	35	428	2	222.115.187.198|202|35	222.115.187.198|226|0	
[2026-01-05 19시22분07초]	3	486	2	222.115.187.198|250|3	222.115.187.198|236|0	
[2026-01-05 19시22분08초]	12	3820	2	222.115.187.198|3552|12	222.115.187.198|268|0	
[2026-01-05 19시22분09초]	0	1280	2	222.115.187.198|1036|0	222.115.187.198|244|0	
[2026-01-05 19시22분10초]	0	1380	2	222.115.187.198|1116|0	222.115.187.198|264|0	
[2026-01-05 19시22분11초]	3	1168	2	222.115.187.198|864|3	222.115.187.198|304|0	
[2026-01-05 19시22분12초]	13	11592	2	222.115.187.198|11030|13	222.115.187.198|562|0	
[2026-01-05 19시22분13초]	7	2506	2	222.115.187.198|1914|7	222.115.187.198|592|0	
[2026-01-05 19시22분14초]	0	1212	2	222.115.187.198|638|0	222.115.187.198|574|0	
[2026-01-05 19시22분15초]	0	1122	2	222.115.187.198|550|0	222.115.187.198|572|0	
[2026-01-05 19시22분16초]	0	1096	2	222.115.187.198|532|0	222.115.187.198|564|0	
[2026-01-05 19시22분17초]	0	1122	2	222.115.187.198|550|0	222.115.187.198|572|0	
[2026-01-05 19시22분18초]	0	1156	2	222.115.187.198|610|0	222.115.187.198|546|0	
[2026-01-05 19시22분19초]	0	954	2	222.115.187.198|418|0	222.115.187.198|536|0	
