[2026-01-06 17시40분18초]	0	0	0	
[2026-01-06 17시40분19초]	0	0	0	
[2026-01-06 17시40분20초]	0	0	0	
[2026-01-06 17시40분21초]	0	0	0	
[2026-01-06 17시40분22초]	0	0	0	
[2026-01-06 17시40분23초]	0	0	0	
[2026-01-06 17시40분24초]	0	0	0	
[2026-01-06 17시40분25초]	0	0	0	
[2026-01-06 17시40분26초]	0	0	0	
[2026-01-06 17시40분27초]	0	0	0	
[2026-01-06 17시40분28초]	0	0	0	
[2026-01-06 17시40분29초]	0	0	0	
[2026-01-06 17시40분30초]	0	0	0	
[2026-01-06 17시40분31초]	0	0	0	
[2026-01-06 17시40분32초]	0	0	0	
[2026-01-06 17시40분33초]	0	0	0	
[2026-01-06 17시40분34초]	0	0	0	
[2026-01-06 17시40분35초]	0	0	0	
[2026-01-06 17시40분36초]	0	0	0	
[2026-01-06 17시40분37초]	0	0	0	
[2026-01-06 17시40분39초]	0	0	0	
[2026-01-06 17시40분40초]	0	0	0	
[2026-01-06 17시40분41초]	0	0	0	
[2026-01-06 17시40분42초]	0	0	0	
[2026-01-06 17시40분43초]	0	42	1	null|42|0	
[2026-01-06 17시40분44초]	0	0	1	null|0|0	
[2026-01-06 17시40분45초]	0	0	1	null|0|0	
[2026-01-06 17시40분46초]	0	0	1	null|0|0	
[2026-01-06 17시40분47초]	0	0	1	null|0|0	
[2026-01-06 17시40분48초]	44	202	1	222.115.187.198|202|44	
[2026-01-06 17시40분49초]	16	5664	1	222.115.187.198|5664|16	
[2026-01-06 17시40분50초]	11	6126	1	222.115.187.198|6126|11	
[2026-01-06 17시40분51초]	24	566	1	222.115.187.198|566|24	
[2026-01-06 17시40분52초]	16	1724	1	222.115.187.198|1724|16	
[2026-01-06 17시40분53초]	18	656	1	222.115.187.198|656|18	
[2026-01-06 17시40분54초]	4	126	1	222.115.187.198|126|4	
[2026-01-06 17시40분55초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시40분56초]	0	146	1	222.115.187.198|146|0	
[2026-01-06 17시40분57초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시40분58초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시40분59초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분00초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분01초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분02초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분03초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분04초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분05초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분06초]	0	146	1	222.115.187.198|146|0	
[2026-01-06 17시41분07초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분08초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분09초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분10초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분11초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분12초]	0	184	1	222.115.187.198|184|0	
[2026-01-06 17시41분13초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분14초]	0	136	1	222.115.187.198|136|0	
[2026-01-06 17시41분15초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분16초]	8	346	1	222.115.187.198|346|8	
[2026-01-06 17시41분17초]	55	1508	1	222.115.187.198|1508|55	
[2026-01-06 17시41분18초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분19초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분20초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분21초]	0	126	1	222.115.187.198|126|0	
[2026-01-06 17시41분22초]	0	136	1	222.115.187.198|136|0	
