[2026-01-12 18시23분48초]	0	0	0	
[2026-01-12 18시23분50초]	0	0	0	
[2026-01-12 18시23분51초]	0	0	0	
[2026-01-12 18시23분52초]	0	0	0	
[2026-01-12 18시23분53초]	0	0	0	
[2026-01-12 18시23분54초]	0	0	0	
[2026-01-12 18시23분55초]	0	0	0	
[2026-01-12 18시23분56초]	0	0	0	
[2026-01-12 18시23분57초]	0	0	0	
[2026-01-12 18시23분58초]	0	0	0	
[2026-01-12 18시23분59초]	0	0	0	
[2026-01-12 18시24분00초]	0	0	0	
[2026-01-12 18시24분01초]	0	0	0	
[2026-01-12 18시24분02초]	0	42	1	null|42|0	
[2026-01-12 18시24분03초]	0	0	1	null|0|0	
[2026-01-12 18시24분04초]	0	0	1	null|0|0	
[2026-01-12 18시24분05초]	0	0	1	null|0|0	
[2026-01-12 18시24분06초]	0	0	1	null|0|0	
[2026-01-12 18시24분07초]	0	0	1	null|0|0	
[2026-01-12 18시24분08초]	0	0	1	null|0|0	
[2026-01-12 18시24분09초]	0	0	1	null|0|0	
[2026-01-12 18시24분10초]	44	106	1	222.115.187.198|106|44	
[2026-01-12 18시24분11초]	0	0	1	222.115.187.198|0|0	
[2026-01-12 18시24분12초]	9	1432	1	222.115.187.198|1432|9	
[2026-01-12 18시24분13초]	13	8838	1	222.115.187.198|8838|13	
[2026-01-12 18시24분14초]	0	592	1	222.115.187.198|592|0	
[2026-01-12 18시24분15초]	0	272	1	222.115.187.198|272|0	
[2026-01-12 18시24분16초]	0	244	1	222.115.187.198|244|0	
[2026-01-12 18시24분17초]	0	282	1	222.115.187.198|282|0	
[2026-01-12 18시24분18초]	16	388	1	222.115.187.198|388|16	
[2026-01-12 18시24분19초]	0	298	1	222.115.187.198|298|0	
[2026-01-12 18시24분20초]	0	298	1	222.115.187.198|298|0	
[2026-01-12 18시24분21초]	0	262	1	222.115.187.198|262|0	
[2026-01-12 18시24분22초]	0	298	1	222.115.187.198|298|0	
[2026-01-12 18시24분23초]	0	272	1	222.115.187.198|272|0	
[2026-01-12 18시24분24초]	0	298	1	222.115.187.198|298|0	
[2026-01-12 18시24분25초]	3	302	1	222.115.187.198|302|3	
[2026-01-12 18시24분26초]	0	0	1	222.115.187.198|0|0	
[2026-01-12 18시24분27초]	18	5276	1	222.115.187.198|5276|18	
[2026-01-12 18시24분28초]	8	1166	1	222.115.187.198|1166|8	
[2026-01-12 18시24분29초]	0	34	1	222.115.187.198|34|0	
[2026-01-12 18시24분30초]	0	34	1	222.115.187.198|34|0	
[2026-01-12 18시24분31초]	3	52	1	222.115.187.198|52|3	
[2026-01-12 18시24분32초]	0	0	1	222.115.187.198|0|0	
