[2026-02-14 10시08분51초]	0	0	0	
[2026-02-14 10시08분52초]	0	0	0	
[2026-02-14 10시08분53초]	0	0	0	
[2026-02-14 10시08분54초]	0	0	0	
[2026-02-14 10시08분55초]	0	0	0	
[2026-02-14 10시08분56초]	0	0	0	
[2026-02-14 10시08분57초]	0	0	0	
[2026-02-14 10시08분58초]	0	0	0	
[2026-02-14 10시08분59초]	0	0	0	
[2026-02-14 10시09분00초]	0	0	0	
[2026-02-14 10시09분01초]	0	0	0	
[2026-02-14 10시09분02초]	0	0	0	
[2026-02-14 10시09분03초]	0	0	0	
[2026-02-14 10시09분05초]	0	0	0	
[2026-02-14 10시09분06초]	0	0	0	
[2026-02-14 10시09분07초]	0	0	0	
[2026-02-14 10시09분08초]	0	0	0	
[2026-02-14 10시09분09초]	0	0	0	
[2026-02-14 10시09분10초]	0	0	0	
[2026-02-14 10시09분11초]	0	0	0	
[2026-02-14 10시09분12초]	0	0	0	
[2026-02-14 10시09분13초]	0	0	0	
[2026-02-14 10시09분14초]	0	0	0	
[2026-02-14 10시09분15초]	0	0	0	
[2026-02-14 10시09분16초]	0	0	0	
[2026-02-14 10시09분17초]	0	0	0	
[2026-02-14 10시09분18초]	0	0	0	
[2026-02-14 10시09분19초]	0	0	0	
[2026-02-14 10시09분20초]	0	0	0	
[2026-02-14 10시09분21초]	0	0	0	
[2026-02-14 10시09분22초]	0	0	0	
[2026-02-14 10시09분23초]	0	0	0	
[2026-02-14 10시09분24초]	0	0	0	
[2026-02-14 10시09분25초]	0	0	0	
[2026-02-14 10시09분26초]	0	0	0	
[2026-02-14 10시09분27초]	0	0	0	
[2026-02-14 10시09분28초]	0	0	0	
[2026-02-14 10시09분29초]	0	0	0	
[2026-02-14 10시09분30초]	0	0	0	
[2026-02-14 10시09분31초]	0	0	0	
[2026-02-14 10시09분32초]	0	0	0	
[2026-02-14 10시09분33초]	0	0	0	
[2026-02-14 10시09분34초]	0	42	1	null|42|0	
[2026-02-14 10시09분35초]	0	0	1	null|0|0	
[2026-02-14 10시09분36초]	0	0	1	null|0|0	
[2026-02-14 10시09분37초]	0	0	1	null|0|0	
[2026-02-14 10시09분38초]	0	0	1	null|0|0	
[2026-02-14 10시09분39초]	44	106	1	222.115.187.198|106|44	
[2026-02-14 10시09분40초]	3	202	1	222.115.187.198|202|3	
[2026-02-14 10시09분41초]	3	250	1	222.115.187.198|250|3	
[2026-02-14 10시09분42초]	3	1844	1	222.115.187.198|1844|3	
[2026-02-14 10시09분43초]	13	10094	1	222.115.187.198|10094|13	
[2026-02-14 10시09분44초]	0	162	1	222.115.187.198|162|0	
[2026-02-14 10시09분45초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시09분46초]	0	172	1	222.115.187.198|172|0	
[2026-02-14 10시09분47초]	0	154	1	222.115.187.198|154|0	
[2026-02-14 10시09분48초]	0	144	1	222.115.187.198|144|0	
[2026-02-14 10시09분49초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시09분50초]	0	162	1	222.115.187.198|162|0	
[2026-02-14 10시09분51초]	0	154	1	222.115.187.198|154|0	
[2026-02-14 10시09분52초]	0	154	1	222.115.187.198|154|0	
[2026-02-14 10시09분53초]	0	144	1	222.115.187.198|144|0	
[2026-02-14 10시09분54초]	0	180	1	222.115.187.198|180|0	
[2026-02-14 10시09분55초]	0	154	1	222.115.187.198|154|0	
[2026-02-14 10시09분56초]	3	164	1	222.115.187.198|164|3	
[2026-02-14 10시09분57초]	0	0	1	222.115.187.198|0|0	
[2026-02-14 10시09분58초]	0	0	1	222.115.187.198|0|0	
[2026-02-14 10시09분59초]	3	0	1	222.115.187.198|0|3	
[2026-02-14 10시10분00초]	0	0	1	222.115.187.198|0|0	
[2026-02-14 10시10분01초]	0	0	1	222.115.187.198|0|0	
[2026-02-14 10시10분02초]	0	0	1	222.115.187.198|0|0	
[2026-02-14 10시10분03초]	42	106	1	222.115.187.198|106|42	
[2026-02-14 10시10분04초]	3	202	1	222.115.187.198|202|3	
[2026-02-14 10시10분05초]	3	250	1	222.115.187.198|250|3	
[2026-02-14 10시10분06초]	3	1810	1	222.115.187.198|1810|3	
[2026-02-14 10시10분07초]	11	8006	1	222.115.187.198|8006|11	
[2026-02-14 10시10분08초]	0	1080	1	222.115.187.198|1080|0	
[2026-02-14 10시10분09초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분10초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분11초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분12초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분13초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분14초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분15초]	8	394	1	222.115.187.198|394|8	
[2026-02-14 10시10분16초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분17초]	0	146	1	222.115.187.198|146|0	
[2026-02-14 10시10분18초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분19초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분20초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분21초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분22초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분23초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분24초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분25초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분26초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분27초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분28초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분29초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분30초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분31초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분33초]	0	146	1	222.115.187.198|146|0	
[2026-02-14 10시10분34초]	10	4708	1	222.115.187.198|4708|10	
[2026-02-14 10시10분35초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분36초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분37초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분38초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분39초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분40초]	0	176	1	222.115.187.198|176|0	
[2026-02-14 10시10분41초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분42초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분43초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분44초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분45초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분46초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분47초]	0	144	1	222.115.187.198|144|0	
[2026-02-14 10시10분48초]	32	314	1	222.115.187.198|314|32	
[2026-02-14 10시10분49초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분50초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분51초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분52초]	10	186	1	222.115.187.198|186|10	
[2026-02-14 10시10분53초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분54초]	0	136	1	222.115.187.198|136|0	
[2026-02-14 10시10분55초]	0	144	1	222.115.187.198|144|0	
[2026-02-14 10시10분56초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분57초]	0	156	1	222.115.187.198|156|0	
[2026-02-14 10시10분58초]	0	126	1	222.115.187.198|126|0	
[2026-02-14 10시10분59초]	11	490	1	222.115.187.198|490|11	
[2026-02-14 10시11분00초]	8	472	1	222.115.187.198|472|8	
[2026-02-14 10시11분01초]	16	444	1	222.115.187.198|444|16	
[2026-02-14 10시11분02초]	24	614	1	222.115.187.198|614|24	
[2026-02-14 10시11분03초]	24	564	1	222.115.187.198|564|24	
[2026-02-14 10시11분04초]	8	526	1	222.115.187.198|526|8	
[2026-02-14 10시11분05초]	10	562	1	222.115.187.198|562|10	
[2026-02-14 10시11분06초]	80	684	1	222.115.187.198|684|80	
[2026-02-14 10시11분07초]	96	576	1	222.115.187.198|576|96	
[2026-02-14 10시11분08초]	91	500	1	222.115.187.198|500|91	
[2026-02-14 10시11분09초]	80	532	1	222.115.187.198|532|80	
[2026-02-14 10시11분10초]	88	590	1	222.115.187.198|590|88	
[2026-02-14 10시11분11초]	56	354	1	222.115.187.198|354|56	
[2026-02-14 10시11분12초]	56	690	1	222.115.187.198|690|56	
[2026-02-14 10시11분13초]	88	1094	1	222.115.187.198|1094|88	
[2026-02-14 10시11분14초]	88	918	1	222.115.187.198|918|88	
[2026-02-14 10시11분15초]	88	690	1	222.115.187.198|690|88	
[2026-02-14 10시11분16초]	88	652	1	222.115.187.198|652|88	
[2026-02-14 10시11분17초]	88	1052	1	222.115.187.198|1052|88	
[2026-02-14 10시11분18초]	88	944	1	222.115.187.198|944|88	
[2026-02-14 10시11분19초]	24	880	1	222.115.187.198|880|24	
[2026-02-14 10시11분20초]	32	880	1	222.115.187.198|880|32	
[2026-02-14 10시11분21초]	88	1068	1	222.115.187.198|1068|88	
[2026-02-14 10시11분22초]	88	820	1	222.115.187.198|820|88	
[2026-02-14 10시11분23초]	88	758	1	222.115.187.198|758|88	
[2026-02-14 10시11분24초]	88	964	1	222.115.187.198|964|88	
[2026-02-14 10시11분25초]	80	794	1	222.115.187.198|794|80	
[2026-02-14 10시11분26초]	88	754	1	222.115.187.198|754|88	
[2026-02-14 10시11분27초]	80	1360	1	222.115.187.198|1360|80	
[2026-02-14 10시11분28초]	40	1248	1	222.115.187.198|1248|40	
[2026-02-14 10시11분29초]	80	1350	1	222.115.187.198|1350|80	
[2026-02-14 10시11분30초]	40	1284	1	222.115.187.198|1284|40	
[2026-02-14 10시11분31초]	88	1188	1	222.115.187.198|1188|88	
[2026-02-14 10시11분32초]	88	1340	1	222.115.187.198|1340|88	
[2026-02-14 10시11분33초]	0	1060	1	222.115.187.198|1060|0	
[2026-02-14 10시11분34초]	0	944	1	222.115.187.198|944|0	
[2026-02-14 10시11분35초]	8	1008	1	222.115.187.198|1008|8	
[2026-02-14 10시11분36초]	0	972	1	222.115.187.198|972|0	
[2026-02-14 10시11분37초]	0	954	1	222.115.187.198|954|0	
[2026-02-14 10시11분38초]	0	944	1	222.115.187.198|944|0	
[2026-02-14 10시11분39초]	19	1094	1	222.115.187.198|1094|19	
[2026-02-14 10시11분40초]	0	962	1	222.115.187.198|962|0	
[2026-02-14 10시11분41초]	0	980	1	222.115.187.198|980|0	
[2026-02-14 10시11분42초]	0	972	1	222.115.187.198|972|0	
[2026-02-14 10시11분43초]	0	944	1	222.115.187.198|944|0	
[2026-02-14 10시11분44초]	0	962	1	222.115.187.198|962|0	
[2026-02-14 10시11분45초]	0	1070	1	222.115.187.198|1070|0	
[2026-02-14 10시11분46초]	0	1034	1	222.115.187.198|1034|0	
[2026-02-14 10시11분47초]	0	852	1	222.115.187.198|852|0	
[2026-02-14 10시11분48초]	0	800	1	222.115.187.198|800|0	
[2026-02-14 10시11분49초]	0	780	1	222.115.187.198|780|0	
[2026-02-14 10시11분50초]	24	1032	1	222.115.187.198|1032|24	
[2026-02-14 10시11분51초]	0	762	1	222.115.187.198|762|0	
[2026-02-14 10시11분52초]	8	992	1	222.115.187.198|992|8	
[2026-02-14 10시11분53초]	0	772	1	222.115.187.198|772|0	
[2026-02-14 10시11분54초]	0	762	1	222.115.187.198|762|0	
[2026-02-14 10시11분55초]	0	772	1	222.115.187.198|772|0	
[2026-02-14 10시11분56초]	0	1054	1	222.115.187.198|1054|0	
[2026-02-14 10시11분58초]	0	726	1	222.115.187.198|726|0	
[2026-02-14 10시11분59초]	0	726	1	222.115.187.198|726|0	
[2026-02-14 10시12분00초]	0	726	1	222.115.187.198|726|0	
[2026-02-14 10시12분01초]	0	762	1	222.115.187.198|762|0	
[2026-02-14 10시12분02초]	23	844	1	222.115.187.198|844|23	
[2026-02-14 10시12분03초]	0	726	1	222.115.187.198|726|0	
[2026-02-14 10시12분04초]	0	736	1	222.115.187.198|736|0	
[2026-02-14 10시12분05초]	0	744	1	222.115.187.198|744|0	
[2026-02-14 10시12분06초]	0	822	1	222.115.187.198|822|0	
[2026-02-14 10시12분07초]	13	836	1	222.115.187.198|836|13	
[2026-02-14 10시12분08초]	8	914	1	222.115.187.198|914|8	
[2026-02-14 10시12분09초]	23	1372	1	222.115.187.198|1372|23	
[2026-02-14 10시12분10초]	11	1222	1	222.115.187.198|1222|11	
[2026-02-14 10시12분11초]	0	1066	1	222.115.187.198|1066|0	
[2026-02-14 10시12분12초]	0	1078	1	222.115.187.198|1078|0	
[2026-02-14 10시12분13초]	0	980	1	222.115.187.198|980|0	
[2026-02-14 10시12분14초]	0	1078	1	222.115.187.198|1078|0	
[2026-02-14 10시12분15초]	0	998	1	222.115.187.198|998|0	
[2026-02-14 10시12분16초]	0	1114	1	222.115.187.198|1114|0	
[2026-02-14 10시12분17초]	25	1178	1	222.115.187.198|1178|25	
[2026-02-14 10시12분18초]	0	1052	1	222.115.187.198|1052|0	
[2026-02-14 10시12분19초]	8	1034	1	222.115.187.198|1060|8	
[2026-02-14 10시12분20초]	11	1130	1	222.115.187.198|1130|11	
[2026-02-14 10시12분21초]	18	1052	1	222.115.187.198|1052|18	
[2026-02-14 10시12분22초]	22	1148	1	222.115.187.198|1148|22	
[2026-02-14 10시12분23초]	22	1076	1	222.115.187.198|1076|22	
[2026-02-14 10시12분24초]	22	1218	1	222.115.187.198|1218|22	
[2026-02-14 10시12분25초]	47	1188	1	222.115.187.198|1188|47	
[2026-02-14 10시12분26초]	11	1230	1	222.115.187.198|1230|11	
[2026-02-14 10시12분27초]	22	1058	1	222.115.187.198|1058|22	
[2026-02-14 10시12분28초]	22	1172	1	222.115.187.198|1172|22	
[2026-02-14 10시12분29초]	22	1022	1	222.115.187.198|1022|22	
[2026-02-14 10시12분30초]	33	1198	1	222.115.187.198|1198|33	
[2026-02-14 10시12분31초]	22	1012	1	222.115.187.198|1012|22	
[2026-02-14 10시12분32초]	11	1444	1	222.115.187.198|1444|11	
[2026-02-14 10시12분33초]	46	1068	1	222.115.187.198|1068|46	
[2026-02-14 10시12분34초]	11	936	1	222.115.187.198|936|11	
[2026-02-14 10시12분35초]	22	862	1	222.115.187.198|862|22	
[2026-02-14 10시12분36초]	22	1300	1	222.115.187.198|1300|22	
[2026-02-14 10시12분37초]	22	922	1	222.115.187.198|922|22	
[2026-02-14 10시12분38초]	35	1002	1	222.115.187.198|1002|35	
[2026-02-14 10시12분39초]	22	948	1	222.115.187.198|948|22	
[2026-02-14 10시12분40초]	22	888	1	222.115.187.198|888|22	
[2026-02-14 10시12분41초]	33	1214	1	222.115.187.198|1214|33	
[2026-02-14 10시12분42초]	24	850	1	222.115.187.198|850|24	
[2026-02-14 10시12분43초]	33	892	1	222.115.187.198|892|33	
[2026-02-14 10시12분44초]	24	900	1	222.115.187.198|900|24	
[2026-02-14 10시12분45초]	22	968	1	222.115.187.198|968|22	
[2026-02-14 10시12분47초]	33	806	1	222.115.187.198|806|33	
[2026-02-14 10시12분48초]	24	732	1	222.115.187.198|732|24	
[2026-02-14 10시12분49초]	22	994	1	222.115.187.198|994|22	
[2026-02-14 10시12분50초]	22	694	1	222.115.187.198|694|22	
[2026-02-14 10시12분51초]	24	748	1	222.115.187.198|748|24	
[2026-02-14 10시12분52초]	16	922	1	222.115.187.198|922|16	
[2026-02-14 10시12분53초]	24	784	1	222.115.187.198|784|24	
[2026-02-14 10시12분54초]	16	494	1	222.115.187.198|494|16	
