[2026-06-10 22시30분13초]	0	0	0	
[2026-06-10 22시30분14초]	0	0	0	
[2026-06-10 22시30분15초]	0	0	0	
[2026-06-10 22시30분16초]	0	0	0	
[2026-06-10 22시30분17초]	0	0	0	
[2026-06-10 22시30분18초]	0	0	0	
[2026-06-10 22시30분19초]	0	0	0	
[2026-06-10 22시30분20초]	0	0	0	
[2026-06-10 22시30분21초]	0	0	0	
[2026-06-10 22시30분22초]	0	0	0	
[2026-06-10 22시30분23초]	0	0	0	
[2026-06-10 22시30분24초]	0	0	0	
[2026-06-10 22시30분25초]	0	0	0	
[2026-06-10 22시30분26초]	0	0	0	
[2026-06-10 22시30분27초]	0	0	0	
[2026-06-10 22시30분28초]	0	0	0	
[2026-06-10 22시30분29초]	0	0	0	
[2026-06-10 22시30분30초]	0	0	0	
[2026-06-10 22시30분31초]	0	0	0	
[2026-06-10 22시30분32초]	0	0	0	
[2026-06-10 22시30분33초]	0	0	0	
[2026-06-10 22시30분34초]	0	0	0	
[2026-06-10 22시30분35초]	0	0	0	
[2026-06-10 22시30분36초]	0	0	0	
[2026-06-10 22시30분37초]	0	0	0	
[2026-06-10 22시30분38초]	0	0	0	
[2026-06-10 22시30분39초]	0	0	0	
[2026-06-10 22시30분40초]	0	0	0	
[2026-06-10 22시30분41초]	0	0	0	
[2026-06-10 22시30분42초]	0	0	0	
[2026-06-10 22시30분43초]	0	0	0	
[2026-06-10 22시30분44초]	0	0	0	
[2026-06-10 22시30분45초]	0	0	0	
[2026-06-10 22시30분46초]	0	0	0	
[2026-06-10 22시30분47초]	0	0	0	
[2026-06-10 22시30분48초]	0	0	0	
[2026-06-10 22시30분49초]	0	0	0	
[2026-06-10 22시30분50초]	0	0	0	
[2026-06-10 22시30분51초]	0	0	0	
[2026-06-10 22시30분52초]	0	0	0	
[2026-06-10 22시30분53초]	0	42	1	null|42|0	
[2026-06-10 22시30분54초]	0	0	1	null|0|0	
[2026-06-10 22시30분55초]	0	0	1	null|0|0	
[2026-06-10 22시30분56초]	0	0	1	null|0|0	
[2026-06-10 22시30분57초]	0	0	1	null|0|0	
[2026-06-10 22시30분58초]	0	0	1	null|0|0	
[2026-06-10 22시30분59초]	44	170	1	222.115.187.198|170|44	
[2026-06-10 22시31분00초]	3	2082	1	222.115.187.198|2082|3	
[2026-06-10 22시31분01초]	20	2888	1	222.115.187.198|2888|20	
[2026-06-10 22시31분02초]	56	884	1	222.115.187.198|884|56	
[2026-06-10 22시31분03초]	0	36	1	222.115.187.198|36|0	
[2026-06-10 22시31분04초]	0	0	1	222.115.187.198|0|0	
[2026-06-10 22시31분05초]	48	576	1	222.115.187.198|576|48	
[2026-06-10 22시31분06초]	24	180	1	222.115.187.198|180|24	
[2026-06-10 22시31분07초]	0	38	1	222.115.187.198|38|0	
[2026-06-10 22시31분08초]	0	18	1	222.115.187.198|18|0	
[2026-06-10 22시31분09초]	0	54	1	222.115.187.198|54|0	
[2026-06-10 22시31분10초]	72	2266	1	222.115.187.198|2266|72	
[2026-06-10 22시31분11초]	0	36	1	222.115.187.198|36|0	
[2026-06-10 22시31분12초]	0	0	1	222.115.187.198|0|0	
[2026-06-10 22시31분13초]	64	1184	1	222.115.187.198|1184|64	
[2026-06-10 22시31분14초]	88	1036	1	222.115.187.198|1036|88	
[2026-06-10 22시31분15초]	0	10	1	222.115.187.198|10|0	
[2026-06-10 22시31분16초]	32	364	1	222.115.187.198|364|32	
[2026-06-10 22시31분17초]	72	1692	1	222.115.187.198|1692|72	
[2026-06-10 22시31분18초]	0	0	1	222.115.187.198|0|0	
[2026-06-10 22시31분19초]	0	0	1	222.115.187.198|0|0	
[2026-06-10 22시31분20초]	23	260	1	222.115.187.198|260|23	
[2026-06-10 22시31분21초]	29	88	1	222.115.187.198|88|29	
[2026-06-10 22시31분22초]	56	10	1	222.115.187.198|10|56	
