[2025-12-15 15시10분13초]	 [캐릭터: 메티스]	 [.템 흑단막대 10]
[2025-12-15 15시10분23초]	 [캐릭터: 메티스]	 [.템 고기 100]
[2025-12-15 15시10분29초]	 [캐릭터: 메티스]	 [.몬스터 열혈토끼]
[2025-12-15 15시10분41초]	 [캐릭터: 메티스]	 [.몬스터 열혈토끼 1]
[2025-12-15 15시11분02초]	 [캐릭터: 메티스]	 [.템 빨간물약 100]
[2025-12-15 15시11분12초]	 [캐릭터: 메티스]	 [.몬스터 아기진돗개]
[2025-12-15 15시11분24초]	 [캐릭터: 메티스]	 [.몬스터 배틀타이거]
[2025-12-15 15시11분40초]	 [캐릭터: 메티스]	 [.템 부활주문서 10]
[2025-12-15 15시11분57초]	 [캐릭터: 메티스]	 [.몬스터 도베르만 1]
[2025-12-15 15시13분11초]	 [캐릭터: 메티스]	 [.템 일본도 1]
[2025-12-15 15시23분17초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-15 15시25분03초]	 [캐릭터: 메티스]	 [.검색 0 펫]
[2025-12-15 15시25분09초]	 [캐릭터: 메티스]	 [.검색 0 강철]
[2025-12-15 15시30분12초]	 [캐릭터: 메티스]	 [.변신]
[2025-12-15 15시55분18초]	 [캐릭터: 메티스]	 [.몬스터 피닉스 1]
[2025-12-15 15시55분22초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-15 19시12분33초]	 [캐릭터: 메티스]	 [.템 버땅이동주문서 10]
[2025-12-15 19시12분49초]	 [캐릭터: 메티스]	 [.레벨 메티스 51.20]
