[2025-12-21 01시39분48초]	 [캐릭터: 메티스]	 [.투망]
[2025-12-21 01시39분55초]	 [캐릭터: 메티스]	 [.템 제작마을이동부적 1]
[2025-12-21 01시40분20초]	 [캐릭터: 메티스]	 [.템 대검 1 8 1]
[2025-12-21 01시40분29초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 100000]
[2025-12-21 01시42분49초]	 [캐릭터: 메티스]	 [.템 황금지휘봉 1 8 1]
[2025-12-21 01시42분54초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 100000]
[2025-12-21 01시44분39초]	 [캐릭터: 메티스]	 [.템 장궁 1 8 1]
[2025-12-21 01시44분46초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 10000]
[2025-12-21 01시44분58초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 990000]
[2025-12-21 01시49분55초]	 [캐릭터: 메티스]	 [.투망]
[2025-12-21 01시50분14초]	 [캐릭터: 메티스]	 [.템 변신주문서 10]
[2025-12-21 01시50분58초]	 [캐릭터: 메티스]	 [.템 포르세의 검 1 9 1]
[2025-12-21 01시51분06초]	 [캐릭터: 메티스]	 [.템 포르세의검 1 8 1]
[2025-12-21 01시51분28초]	 [캐릭터: 메티스]	 [.템 악마왕의양손검 1 9 1]
[2025-12-21 01시51분37초]	 [캐릭터: 메티스]	 [.템 악마왕의한손검 1 9 1]
[2025-12-21 01시51분43초]	 [캐릭터: 메티스]	 [.명중]
[2025-12-21 01시51분46초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시51분54초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시54분16초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시54분20초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시54분25초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시55분33초]	 [캐릭터: 메티스]	 [.템 수호성의파워글로브 1 9 1]
[2025-12-21 01시56분19초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시56분39초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시56분46초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시56분57초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시57분39초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시57분41초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시57분47초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시58분34초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시58분53초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시58분59초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시59분04초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 01시59분09초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시00분30초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시00분34초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시00분38초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시00분41초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시02분36초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시02분41초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시02분57초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시04분45초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-21 02시06분06초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-21 02시06분19초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시06분24초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시06분29초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-21 02시14분36초]	 [캐릭터: 메티스]	 [.템 마법방어투구 1 7 1]
[2025-12-21 03시11분10초]	 [캐릭터: 메티스]	 [.스킬올마 메티스]
[2025-12-21 15시34분08초]	 [캐릭터: 메티스]	 [.리로드 몹스폰 4]
[2025-12-21 15시34분24초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시34분29초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시34분38초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시35분10초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시35분29초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 20]
[2025-12-21 15시35분32초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시35분48초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 15시35분53초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시43분24초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 15시43분30초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시43분42초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 15시43분47초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시46분41초]	 [캐릭터: 메티스]	 [.출두 활요]
[2025-12-21 15시46분44초]	 [캐릭터: 메티스]	 [.주변파티]
[2025-12-21 15시47분46초]	 [캐릭터: 메티스]	 [.소환 활요]
[2025-12-21 15시48분35초]	 [캐릭터: 메티스]	 [.출두 활요]
[2025-12-21 15시55분24초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 15시56분32초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 20]
[2025-12-21 15시56분37초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 16시08분19초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 16시08분23초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 16시18분49초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 16시18분53초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 16시19분57초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 16시20분00초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 16시21분25초]	 [캐릭터: 메티스]	 [.투망]
[2025-12-21 19시39분39초]	 [캐릭터: 메티스]	 [.변신]
[2025-12-21 19시39분46초]	 [캐릭터: 메티스]	 [.템 진명황의집행검 1]
[2025-12-21 19시39분50초]	 [캐릭터: 메티스]	 [.템 레벨업지원 1]
[2025-12-21 19시40분04초]	 [캐릭터: 메티스]	 [.귀환 1]
[2025-12-21 19시40분10초]	 [캐릭터: 메티스]	 [.템 순간이동주문서30일 1]
[2025-12-21 19시40분54초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 19시41분00초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 19시41분04초]	 [캐릭터: 메티스]	 [.몹정리]
[2025-12-21 19시41분17초]	 [캐릭터: 메티스]	 [.귀환 주문서 100]
[2025-12-21 19시57분26초]	 [캐릭터: 메티스]	 [.귀환 1]
[2025-12-21 19시58분22초]	 [캐릭터: 메티스]	 [.몬스터 킹버그베어 10]
[2025-12-21 19시58분25초]	 [캐릭터: 메티스]	 [.몹정리]
