[2025-12-22 11시07분07초]	 [캐릭터: 메티스]	 [.귀환]
[2025-12-22 11시07분10초]	 [캐릭터: 메티스]	 [.귀환]
[2025-12-22 11시07분13초]	 [캐릭터: 메티스]	 [.귀환 1]
[2025-12-22 11시07분20초]	 [캐릭터: 메티스]	 [.템 고기 10]
[2025-12-22 11시07분28초]	 [캐릭터: 메티스]	 [.몬스터 도베르만]
[2025-12-22 11시07분36초]	 [캐릭터: 메티스]	 [.몬스터 도베르만 1]
[2025-12-22 11시08분07초]	 [캐릭터: 메티스]	 [.템 부활주문서 10]
[2025-12-22 11시08분55초]	 [캐릭터: 메티스]	 [.귀환]
[2025-12-22 11시29분35초]	 [캐릭터: 메티스]	 [.템 변신주문서 10]
[2025-12-22 11시29분38초]	 [캐릭터: 메티스]	 [.템 변신조종반지 1]
[2025-12-22 11시39분48초]	 [캐릭터: 메티스]	 [.변신]
[2025-12-22 11시58분08초]	 [캐릭터: 메티스]	 [.템 변신주문서 100]
[2025-12-22 12시05분03초]	 [캐릭터: 메티스]	 [.변신]
[2025-12-22 12시43분42초]	 [캐릭터: 메티스]	 [.변신]
[2025-12-22 13시03분33초]	 [캐릭터: 메티스]	 [.귀환 1]
[2025-12-22 13시50분03초]	 [캐릭터: 메티스]	 [.템 귀환주문서 100]
[2025-12-22 14시39분45초]	 [캐릭터: 메티스]	 [.선물 매시 절대반지 1]
[2025-12-22 14시39분55초]	 [캐릭터: 매시]	 [.템 진명황의집행검 1 999 0]
[2025-12-22 14시40분02초]	 [캐릭터: 매시]	 [.템 1억아데나 1]
[2025-12-22 14시40분05초]	 [캐릭터: 매시]	 [.템 레벨업지원 1]
[2025-12-22 14시40분20초]	 [캐릭터: 매시]	 [.귀환 1]
[2025-12-22 14시40분41초]	 [캐릭터: 매시]	 [.출두 메티스]
[2025-12-22 14시40분47초]	 [캐릭터: 매시]	 [.소환 큰뼈흑장로 1]
[2025-12-22 14시40분53초]	 [캐릭터: 매시]	 [.몬스터 큰뼈흑장로]
[2025-12-22 14시41분17초]	 [캐릭터: 메티스]	 [.메티스 사신의검 1 9 0]
[2025-12-22 14시41분22초]	 [캐릭터: 메티스]	 [.템 사신의검 1 999 0]
[2025-12-22 14시41분40초]	 [캐릭터: 매시]	 [.주변파티]
[2025-12-22 14시41분46초]	 [캐릭터: 메티스]	 [.몬스터 큰뼈흑장로]
[2025-12-22 14시42분02초]	 [캐릭터: 매시]	 [.몬스터 바포메트]
[2025-12-22 14시49분30초]	 [캐릭터: 메티스]	 [.몬스터 데스나이트]
[2025-12-22 14시50분30초]	 [캐릭터: 메티스]	 [.몬스터 데스나이트]
[2025-12-22 14시51분52초]	 [캐릭터: 매시]	 [.귀환]
[2025-12-22 14시51분57초]	 [캐릭터: 메티스]	 [.귀환]
[2025-12-22 15시59분25초]	 [캐릭터: 메티스]	 [.템 초록물약 10]
[2025-12-22 15시59분28초]	 [캐릭터: 메티스]	 [.템 빨간물약 100]
[2025-12-22 16시02분19초]	 [캐릭터: 메티스]	 [.스킬올마 메티스]
