[2025-12-30 10시39분27초]	 [캐릭터: 메티스]	 [.템 변신조종반지 1]
[2025-12-30 10시39분54초]	 [캐릭터: 메티스]	 [.템 무기마법주문서 100]
[2025-12-30 10시40분13초]	 [캐릭터: 메티스]	 [.템 진레이피어 1 9 0]
[2025-12-30 10시40분36초]	 [캐릭터: 메티스]	 [.인벤]
[2025-12-30 10시40분41초]	 [캐릭터: 메티스]	 [.인첸트복구주문서 100]
[2025-12-30 10시40분49초]	 [캐릭터: 메티스]	 [.템 인첸트복구주문서 100]
[2025-12-30 11시43분01초]	 [캐릭터: 메티스]	 [.변신]
[2025-12-30 11시54분52초]	 [캐릭터: 메티스]	 [.투망]
[2025-12-30 11시57분06초]	 [캐릭터: 메티스]	 [.투망]
[2025-12-30 11시58분21초]	 [캐릭터: 메티스]	 [.투망]
[2025-12-30 12시06분10초]	 [캐릭터: 메티스]	 [.변신해제 메티스]
[2025-12-30 12시06분15초]	 [캐릭터: 메티스]	 [.템 진레이피어 1 9 1]
[2025-12-30 12시06분23초]	 [캐릭터: 메티스]	 [.템 악마왕의한손검 1 9 1]
[2025-12-30 12시07분23초]	 [캐릭터: 메티스]	 [.템 포르세의검 1]
[2025-12-30 12시07분29초]	 [캐릭터: 메티스]	 [.템 포르세의검 1 9 1]
[2025-12-30 12시11분18초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시12분55초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-30 12시12분59초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-30 12시13분06초]	 [캐릭터: 메티스]	 [.정보]
[2025-12-30 12시13분38초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시14분46초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시15분07초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시16분21초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시17분08초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시23분00초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시26분52초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2025-12-30 12시29분19초]	 [캐릭터: 메티스]	 [.템 진레이피어 1 6 1]
[2025-12-30 12시29분48초]	 [캐릭터: 메티스]	 [.템 진레이피어 1 8 1]
[2025-12-30 14시44분54초]	 [캐릭터: 밥사]	 [.버프시간]
[2025-12-30 16시43분20초]	 [캐릭터: 메티스]	 [.변신]
