[2026-01-04 19시19분58초]	 [캐릭터: 메티스]	 [.템 수호성의파워글로브 1 5 0]
[2026-01-04 19시20분05초]	 [캐릭터: 메티스]	 [.템 수호성의파워글로브 1 7 0]
[2026-01-04 19시20분15초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 19시20분19초]	 [캐릭터: 메티스]	 [.저어보]
[2026-01-04 19시20분21초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 19시20분33초]	 [캐릭터: 메티스]	 [.템 수호성의파워글로브 1]
[2026-01-04 19시20분40초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 19시20분43초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 19시20분50초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 19시20분55초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 19시21분22초]	 [캐릭터: 메티스]	 [.템 고대투사의가더 1 5 0]
[2026-01-04 19시26분45초]	 [캐릭터: 메티스]	 [.템 노예의귀걸이 1 5 0]
[2026-01-04 19시26분49초]	 [캐릭터: 메티스]	 [.템 노예의귀걸이 1 7 0]
[2026-01-04 20시18분48초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 20시18분51초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 20시18분58초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-04 20시19분04초]	 [캐릭터: 메티스]	 [.정보]
