[2026-01-05 19시22분35초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시22분40초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시22분45초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시22분55초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시23분28초]	 [캐릭터: 이과장]	 [.버프시간]
[2026-01-05 19시40분47초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-05 19시40분50초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시40분56초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-05 19시41분09초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시41분14초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-05 19시41분21초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1 ]
[2026-01-05 19시41분23초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-05 19시41분31초]	 [캐릭터: 메티스]	 [.템 고급불멸의가호 1]
[2026-01-05 19시41분33초]	 [캐릭터: 메티스]	 [.정보]
