[2026-01-06 17시40분52초]	 [캐릭터: 메티스]	 [.변신]
[2026-01-06 17시42분28초]	 [캐릭터: 메티스]	 [.리로드 엔피씨]
[2026-01-06 17시44분54초]	 [캐릭터: 메티스]	 [.리로드 엔피씨]
[2026-01-06 19시32분10초]	 [캐릭터: 메티스]	 [.템 지령의가더 1 5 1]
[2026-01-06 19시32분21초]	 [캐릭터: 메티스]	 [.템 화룡비늘 50]
[2026-01-06 19시32분46초]	 [캐릭터: 메티스]	 [.템 고대투사의가더 1 5 0]
[2026-01-06 19시33분16초]	 [캐릭터: 메티스]	 [.템 고대투사의가더 1 5 1]
[2026-01-06 19시34분31초]	 [캐릭터: 메티스]	 [.템 완력의티셔츠 1 5 1]
[2026-01-06 19시35분16초]	 [캐릭터: 메티스]	 [.템 화룡비늘 1000]
[2026-01-06 19시35분31초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 1000000]
[2026-01-06 19시40분04초]	 [캐릭터: 메티스]	 [.템 고대투사의가더 4 5 1]
[2026-01-06 19시40분10초]	 [캐릭터: 메티스]	 [.템 화룡비늘 50]
[2026-01-06 19시40분13초]	 [캐릭터: 메티스]	 [.템 지룡비늘 50]
[2026-01-06 19시40분16초]	 [캐릭터: 메티스]	 [.템 수룡비늘 50]
[2026-01-06 19시40분21초]	 [캐릭터: 메티스]	 [.템 풍룡비늘 50]
[2026-01-06 19시40분29초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 400000]
[2026-01-06 19시40분43초]	 [캐릭터: 메티스]	 [.템 고대명궁의가더 1 5 1]
[2026-01-06 19시40분58초]	 [캐릭터: 메티스]	 [.템 마법사의가더 1 5 1]
[2026-01-06 19시41분06초]	 [캐릭터: 메티스]	 [.템 고대투사의가더 1 6 1]
[2026-01-06 19시41분10초]	 [캐릭터: 메티스]	 [.템 고대투사의가더 1 7 1]
[2026-01-06 19시41분15초]	 [캐릭터: 메티스]	 [.템 고대명궁의가더 1 8 1]
[2026-01-06 19시41분20초]	 [캐릭터: 메티스]	 [.템 마법사의가더 1 9 1]
[2026-01-06 19시41분33초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 400000]
[2026-01-06 19시41분47초]	 [캐릭터: 메티스]	 [.템 화룡비늘 100]
[2026-01-06 19시41분53초]	 [캐릭터: 메티스]	 [.템 풍룡비늘 50]
[2026-01-06 19시41분55초]	 [캐릭터: 메티스]	 [.템 수룡비늘 50]
[2026-01-06 19시42분36초]	 [캐릭터: 메티스]	 [.템 화룡비늘 50]
[2026-01-06 19시42분51초]	 [캐릭터: 메티스]	 [.템 지룡비늘 50]
[2026-01-06 19시43분20초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 100000]
[2026-01-06 19시43분48초]	 [캐릭터: 메티스]	 [.템 화룡의티셔츠 1 5 1]
[2026-01-06 19시43분54초]	 [캐릭터: 메티스]	 [.템 완력의티셔츠 1 5 1]
[2026-01-06 19시43분58초]	 [캐릭터: 메티스]	 [.템 민첩의티셔츠 1 5 1]
[2026-01-06 19시44분01초]	 [캐릭터: 메티스]	 [.템 지식의티셔츠 1 5 1]
[2026-01-06 19시44분10초]	 [캐릭터: 메티스]	 [.템 화룡비늘 100]
[2026-01-06 19시44분13초]	 [캐릭터: 메티스]	 [.템 수룡비늘 100]
[2026-01-06 19시44분16초]	 [캐릭터: 메티스]	 [.템 지룡비늘 100]
[2026-01-06 19시44분26초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 400000]
[2026-01-06 19시44분47초]	 [캐릭터: 메티스]	 [.템 풍룡비늘 100]
[2026-01-06 19시45분07초]	 [캐릭터: 메티스]	 [.템 완력의티셔츠 1 6 1]
[2026-01-06 19시45분13초]	 [캐릭터: 메티스]	 [.템 민첩의티셔츠 1 7 1]
[2026-01-06 19시45분22초]	 [캐릭터: 메티스]	 [.템 지식의티셔츠 1 7 1]
[2026-01-06 19시45분46초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 200000]
[2026-01-06 19시45분56초]	 [캐릭터: 메티스]	 [.템 노예의 귀걸이 1 5 1]
[2026-01-06 19시47분09초]	 [캐릭터: 메티스]	 [.템 노예의귀걸이 1 5 1]
[2026-01-06 19시47분15초]	 [캐릭터: 메티스]	 [.템 노예의귀걸이 1 6 1]
[2026-01-06 19시47분19초]	 [캐릭터: 메티스]	 [.템 노예의귀걸이 1 7 1]
[2026-01-06 19시47분25초]	 [캐릭터: 메티스]	 [.템 노예의귀걸이 1 8 1]
[2026-01-06 19시50분29초]	 [캐릭터: 메티스]	 [.템 수룡비늘 50]
[2026-01-06 19시50분33초]	 [캐릭터: 메티스]	 [.템 풍룡비늘 50]
[2026-01-06 19시50분55초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 400000]
[2026-01-06 19시53분18초]	 [캐릭터: 메티스]	 [.템 신비한날개깃털 800000]
[2026-01-06 19시53분28초]	 [캐릭터: 메티스]	 [.템 신성한요정족판금갑옷 4 9 0]
[2026-01-06 19시53분39초]	 [캐릭터: 메티스]	 [.템 화룡비늘 100]
[2026-01-06 19시53분43초]	 [캐릭터: 메티스]	 [.템 풍룡비늘 100]
[2026-01-06 19시53분47초]	 [캐릭터: 메티스]	 [.템 수룡비늘 100]
[2026-01-06 19시53분50초]	 [캐릭터: 메티스]	 [.템 지룡비늘 100]
