[2026-01-07 13시33분47초]	 [캐릭터: 메티스]	 [.템 오만의탑환상의지배부적 1]
[2026-01-07 13시35분00초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2026-01-07 13시36분21초]	 [캐릭터: 메티스]	 [.변신]
[2026-01-07 13시38분01초]	 [캐릭터: 메티스]	 [.템 사냥터이동부적 1]
[2026-01-07 13시38분23초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2026-01-07 13시38분34초]	 [캐릭터: 메티스]	 [.투망]
[2026-01-07 13시40분03초]	 [캐릭터: 메티스]	 [.템 오만의탑정상이동주문서 1]
[2026-01-07 13시46분15초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2026-01-07 13시53분47초]	 [캐릭터: 메티스]	 [.욕설필터]
[2026-01-07 14시01분26초]	 [캐릭터: 메티스]	 [.리로드 욕설필터 ]
[2026-01-07 14시10분54초]	 [캐릭터: 메티스]	 [.귀환]
[2026-01-07 14시12분35초]	 [캐릭터: 메티스]	 [.변신]
[2026-01-07 16시32분05초]	 [캐릭터: 메티스]	 [.귀환]
[2026-01-07 17시06분26초]	 [캐릭터: 메티스]	 [.귀환]
[2026-01-07 17시15분33초]	 [캐릭터: 메티스]	 [.귀환]
