[2026-01-12 23시58분08초]	 [캐릭터: 밥사]	 [.리로드 아이콘]
[2026-01-13 00시29분18초]	 [캐릭터: 밥사]	 [.리로드 스킬]
[2026-01-13 00시39분07초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시39분15초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시39분21초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시40분10초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시40분12초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시43분04초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시43분10초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시44분39초]	 [캐릭터: 밥사]	 [.리로드 아이콘]
[2026-01-13 00시44분47초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시44분57초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시45분07초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시45분30초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시47분45초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시47분50초]	 [캐릭터: 메티스]	 [.저어보]
[2026-01-13 00시47분52초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시47분53초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시50분28초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시50분35초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시50분37초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 00시51분10초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시51분22초]	 [캐릭터: 메티스]	 [.검색 마법주문서(블레스웨폰) 10]
[2026-01-13 00시51분30초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시51분36초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시51분45초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시51분55초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시51분59초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 00시54분49초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시33분47초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시33분56초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시33분58초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시34분07초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시52분03초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시52분09초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시52분41초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시52분49초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시52분52초]	 [캐릭터: 밥사]	 [.정보]
[2026-01-13 01시53분41초]	 [캐릭터: 메티스]	 [.정보]
[2026-01-13 01시55분28초]	 [캐릭터: 밥사]	 [.리로드 아이콘]
[2026-01-13 09시35분00초]	 [캐릭터: 앙대]	 [.템 파란물약 100]
[2026-01-13 20시44분22초]	 [캐릭터: 앙대]	 [.리로드 아이콘]
[2026-01-13 20시45분12초]	 [캐릭터: 앙대]	 [.리로드 아이콘]
[2026-01-13 20시58분54초]	 [캐릭터: 메티스]	 [.스킬올마]
[2026-01-13 21시55분14초]	 [캐릭터: 다당]	 [.템 파란물약 1]
[2026-01-13 21시56분16초]	 [캐릭터: 다당]	 [.템 쉐도우아머 1]
[2026-01-13 21시57분12초]	 [캐릭터: 다당]	 [.템 아머브레이크 1]
