[2026-01-14 00시34분20초]	 [캐릭터: 앙대]	 [.템 클래스변경권 1]
[2026-01-14 00시35분20초]	 [캐릭터: 앙대]	 [.스킬올마]
[2026-01-14 00시38분11초]	 [캐릭터: 앙대]	 [.리로드 아이콘]
[2026-01-14 14시13분49초]	 [캐릭터: 짝짠]	 [.템 1억아데나]
[2026-01-14 14시14분05초]	 [캐릭터: 짝짠]	 [.검색 0 베놈]
[2026-01-14 14시14분24초]	 [캐릭터: 짝짠]	 [.템 흑요석 100]
[2026-01-14 14시24분02초]	 [캐릭터: 짝짠]	 [.템 신비한날개깃털 10000]
[2026-01-14 14시24분30초]	 [캐릭터: 짝짠]	 [.버프시간]
[2026-01-14 14시55분33초]	 [캐릭터: 메티스]	 [.템 변신조종반지 1]
[2026-01-14 14시56분23초]	 [캐릭터: 메티스]	 [.템 경험치2배물약 10]
[2026-01-14 14시56분29초]	 [캐릭터: 메티스]	 [.템 경험치2배물약(각인)1]
[2026-01-14 14시56분37초]	 [캐릭터: 메티스]	 [.템 경험치2배물약(각인) 1]
[2026-01-14 14시58분07초]	 [캐릭터: 메티스]	 [.선물 앙대 엘븐와퍼 10]
[2026-01-14 14시59분28초]	 [캐릭터: 메티스]	 [.선물 앙대 정령옥 1000]
[2026-01-14 14시59분34초]	 [캐릭터: 메티스]	 [.선물 앙대 마력의돌 1000]
[2026-01-14 15시03분53초]	 [캐릭터: 앙대]	 [.검색 0 윈드]
[2026-01-14 15시04분05초]	 [캐릭터: 앙대]	 [.검색 0 샷]
[2026-01-14 15시16분46초]	 [캐릭터: 밥사]	 [.템 파란물약 1]
[2026-01-14 15시16분53초]	 [캐릭터: 밥사]	 [.템 파란물약 1]
[2026-01-14 15시17분11초]	 [캐릭터: 밥사]	 [.템 경험치2배물약 10]
[2026-01-14 15시43분49초]	 [캐릭터: 밥사]	 [.템 강화초록물약 10]
[2026-01-14 16시21분08초]	 [캐릭터: 메티스]	 [.리로드 아이콘]
[2026-01-14 16시21분37초]	 [캐릭터: 메티스]	 [.리로드 아이콘]
[2026-01-14 22시19분01초]	 [캐릭터: 메티스]	 [.인벤]
