[2026-02-14 10시10분33초]	 [캐릭터: 앙대]	 [.인벤]
[2026-02-14 10시10분47초]	 [캐릭터: 앙대]	 [.템 화룡의둥지이동주문서 10]
[2026-02-14 10시10분51초]	 [캐릭터: 앙대]	 [.투망]
[2026-02-14 10시11분04초]	 [캐릭터: 앙대]	 [.변신]
[2026-02-14 10시11분49초]	 [캐릭터: 앙대]	 [.템 달의장궁 1 10 0]
[2026-02-14 10시12분01초]	 [캐릭터: 앙대]	 [.템 텔레포트막대 1]
[2026-02-14 10시12분06초]	 [캐릭터: 앙대]	 [.투망]
[2026-02-14 10시12분17초]	 [캐릭터: 앙대]	 [.템 블랙미스릴화살 1]
[2026-02-14 10시12분25초]	 [캐릭터: 앙대]	 [.스킬올마]
[2026-02-14 10시12분55초]	 [캐릭터: 앙대]	 [.올버프]
[2026-02-14 10시15분55초]	 [캐릭터: 앙대]	 [.귀환 1]
[2026-02-14 10시30분59초]	 [캐릭터: 앙대]	 [.귀환]
