[2026-02-19 21시05분56초]	 [캐릭터: 메티스]	 [.템 완력의반지 1 7 1]
[2026-02-19 21시06분00초]	 [캐릭터: 메티스]	 [.템 완력의반지 1 8 1]
[2026-02-19 21시06분11초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시06분15초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시06분27초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시06분36초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시06분51초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시06분59초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시07분02초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시07분08초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시07분12초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시07분21초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시10분25초]	 [캐릭터: 메티스]	 [.템 완력의벨트 1 7 1]
[2026-02-19 21시10분29초]	 [캐릭터: 메티스]	 [.템 완력의벨트 1 8 1]
[2026-02-19 21시10분39초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시10분42초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시10분47초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분11초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분17초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분22초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분25초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분36초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분39초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시11분52초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시12분04초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시13분39초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시13분44초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시13분47초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시13분50초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시15분27초]	 [캐릭터: 메티스]	 [.템 완력의목걸이 1 7 1]
[2026-02-19 21시15분32초]	 [캐릭터: 메티스]	 [.템 완력의목걸이 1 8 1]
[2026-02-19 21시16분48초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시16분55초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시17분00초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시17분03초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-19 21시42분45초]	 [캐릭터: 메티스]	 [.템 오림의장신구마법주문서 100]
[2026-02-19 21시42분49초]	 [캐릭터: 메티스]	 [.템 완력의반지]
[2026-02-19 21시43분15초]	 [캐릭터: 메티스]	 [.템 완력의반지 1]
[2026-02-19 21시47분03초]	 [캐릭터: 메티스]	 [.템 오림의장신구마법주문서 1000]
