[2025-12-25 10시10분53초] [인첸트 성공]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(20)]	 [인첸증가: 1]
[2025-12-25 10시10분55초] [인첸트 성공]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(19)]	 [인첸증가: 1]
[2025-12-25 10시10분56초] [인첸트 성공]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(18)]	 [인첸증가: 1]
[2025-12-25 10시10분59초] [인첸트 성공]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(17)]	 [인첸증가: 1]
[2025-12-25 10시11분00초] [인첸트 실패]	 [캐릭터: 기사]	 [아이템: +6대검(1)]	 [주문서: 무기 마법 주문서(16)]
[2025-12-25 10시11분01초] [인첸트 성공]	 [캐릭터: 기사]	 [아이템: +8대검(1)]	 [주문서: 무기 마법 주문서(15)]	 [인첸증가: 1]
[2025-12-25 10시11분02초] [인첸트 실패]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(14)]
[2025-12-25 10시11분04초] [인첸트 실패]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(13)]
[2025-12-25 10시11분04초] [인첸트 실패]	 [캐릭터: 기사]	 [아이템: +7대검(1)]	 [주문서: 무기 마법 주문서(12)]
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:- 0단 | 결과:실패 | 확률:3% 주사위:79
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:- 0단 | 결과:실패 | 확률:3% 주사위:38
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:- 0단 | 결과:실패 | 확률:3% 주사위:34
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:- 0단 | 결과:실패 | 확률:3% 주사위:64
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:- 0단 | 결과:실패 | 확률:3% 주사위:13
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:- 0단 | 결과:실패 | 확률:3% 주사위:83
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:- 0단 -> 이후:화령 1단 | 결과:성공 | 확률:3% 주사위:1
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:20
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:37
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:31
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:81
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:32
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:14
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:66
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:62
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:38
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:53
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:61
계정:Ktamin 캐릭:기사 | 주문서:화령 속성 주문서 | 대상:$1048+8 | 이전:화령 1단 -> 이후:화령 1단 | 결과:실패 | 확률:2% 주사위:79
[2025-12-25 10시11분21초] [인첸트 실패]	 [캐릭터: 기사]	 [아이템: +8대검(1)]	 [주문서: 무기 마법 주문서(11)]
