[2026-02-19 21시43분00초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +1완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(113)]	 [인첸증가: 1]
[2026-02-19 21시43분01초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(112)]	 [인첸증가: 1]
[2026-02-19 21시43분02초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(111)]	 [인첸증가: 1]
[2026-02-19 21시43분03초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +4완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(110)]	 [인첸증가: 1]
[2026-02-19 21시43분57초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(106)]	 [인첸증가: 1]
[2026-02-19 21시43분58초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(105)]	 [인첸증가: 1]
[2026-02-19 21시44분00초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(103)]	 [인첸증가: 1]
[2026-02-19 21시44분01초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +1완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(102)]	 [인첸증가: 1]
[2026-02-19 21시44분01초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(101)]	 [인첸증가: 1]
[2026-02-19 21시44분02초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(100)]	 [인첸증가: 1]
[2026-02-19 21시44분03초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +4완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(99)]	 [인첸증가: 1]
[2026-02-19 21시44분05초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(96)]	 [인첸증가: 1]
