[2026-01-14 00시32분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 00시32분44초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 00시32분46초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [접속]
[2026-01-14 00시32분49초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [종료]
[2026-01-14 00시33분00초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 00시33분45초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 00시34분08초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 00시34분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 00시34분43초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 00시37분16초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 00시38분14초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 00시38분15초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 00시38분16초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 00시38분17초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 00시42분31초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 00시42분32초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 00시43분10초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 00시43분12초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 08시51분19초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 08시51분34초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 08시53분31초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 08시53분34초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 13시01분08초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 13시02분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 13시02분06초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 13시02분17초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 13시02분18초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시04분45초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 13시04분46초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시05분03초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 13시05분04초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [접속]
[2026-01-14 13시11분36초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시20분27초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 13시20분28초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시22분07초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 13시22분19초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 13시22분20초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시32분51초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 13시32분54초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 13시32분54초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시39분01초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 13시39분02초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시49분56초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 13시56분28초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 13시56분29초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 14시05분56초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 14시05분57초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [접속]
[2026-01-14 14시12분38초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [종료]
[2026-01-14 14시12분39초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [접속]
[2026-01-14 14시15분08초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [종료]
[2026-01-14 14시15분09초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 14시17분25초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 14시17분26초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 14시20분46초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 14시20분47초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 14시21분58초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 14시21분59초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [접속]
[2026-01-14 14시32분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 짝짠]	 [종료]
[2026-01-14 14시54분54초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 14시55분12초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 15시13분37초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 15시13분40초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 15시15분06초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 15시15분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 15시19분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 15시19분26초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 15시34분37초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 15시34분40초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 15시36분43초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 15시37분01초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 15시37분42초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 15시38분01초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 15시38분18초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 15시38분18초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 15시38분21초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 15시38분22초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 15시38분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 15시38분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 15시47분02초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 15시47분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 15시50분28초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 15시54분58초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 15시55분02초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 15시55분07초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 15시55분22초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 15시55분38초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 15시57분12초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 15시57분13초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시02분28초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시02분31초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 16시03분23초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 16시03분40초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시04분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시04분12초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시04분38초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시04분39초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시04분46초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시04분47초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시09분48초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시09분49초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시10분06초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시10분07초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [접속]
[2026-01-14 16시12분02초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 다당]	 [종료]
[2026-01-14 16시12분53초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 16시20분52초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 16시21분38초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 16시21분39초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 16시22분58초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-14 20시58분02초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [접속]
[2026-01-14 20시58분21초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [접속]
[2026-01-14 21시04분00초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 밥사]	 [종료]
[2026-01-14 21시04분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin1]	 [캐릭명: 앙대]	 [종료]
[2026-01-14 22시18분53초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-14 22시29분24초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
